Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,14/09/13,Virtus Lanciano,Avellino,1,0,H,1,0,H,2.25,3.1,3.4,2.15,2.9,3.7,2.1,3.1,3.2,2.15,3,3.3,2.34,3.11,3.57,2.15,3.1,3.3,2.2,3,3.4,2.3,3.1,3.4,36,2.34,2.22,3.2,3.04,3.57,3.28,24,2.45,2.31,1.68,1.58,15,-0.25,1.99,1.94,1.96,1.92
I2,16/09/13,Ternana,Brescia,1,2,A,1,1,D,2.7,3,2.75,2.55,2.95,2.85,2.5,3,2.7,2.55,2.9,2.75,2.66,3.01,3.11,2.7,3,2.6,2.5,3,2.88,2.6,3,3,30,2.7,2.53,3.1,2.97,3.11,2.85,18,2.45,2.29,1.7,1.59,14,0,1.84,1.79,2.12,2.05
I2,20/09/13,Latina,Virtus Lanciano,0,0,D,0,0,D,2.4,3,3.2,2.4,3,3,2.2,2.9,3.2,2.25,3,3.1,2.4,3.14,3.38,2.25,3,3.2,2.3,3,3.13,2.38,3.12,3.25,36,2.4,2.29,3.2,3.05,3.45,3.16,26,2.3,2.19,1.75,1.64,18,0,1.7,1.63,2.38,2.29
I2,20/09/13,Spezia,Palermo,1,0,H,0,0,D,3.1,3.2,2.3,3.2,3.1,2.25,3.2,2.9,2.2,3.1,3,2.2,3.17,3.43,2.36,3,3.2,2.25,3.13,3.13,2.25,3.2,3.3,2.3,36,3.4,3.11,3.46,3.16,2.36,2.25,32,2.15,2.03,1.9,1.77,17,0.25,1.93,1.89,2.04,1.97
I2,21/09/13,Avellino,Varese,1,1,D,0,1,A,2.5,3,3,2.55,2.95,2.85,2.5,2.9,2.8,2.45,2.9,2.9,2.74,3.07,2.95,2.5,3,2.8,2.6,3,2.88,2.6,3.1,2.9,36,2.74,2.53,3.1,3,3,2.79,23,2.4,2.26,1.7,1.6,16,0,1.89,1.83,2.07,2
I2,21/09/13,Brescia,Crotone,1,2,A,0,2,A,1.7,3.6,5,1.75,3.4,4.7,1.8,3.1,4.2,1.67,3.4,5,1.68,3.66,6.21,1.7,3.4,4.8,1.67,3.4,5.5,1.67,3.6,5.75,36,1.8,1.69,3.65,3.41,6.11,5,30,2.1,2.04,1.9,1.76,15,-0.75,2.08,1.91,2.03,1.95
I2,21/09/13,Cesena,Carpi,4,1,H,1,0,H,1.85,3.3,4.5,1.85,3.3,4.2,1.9,3.1,3.8,1.91,3,4.2,2,3.2,4.57,1.91,3.2,4,1.9,3.3,4,1.95,3.3,4.3,36,2,1.91,3.3,3.19,4.9,4.04,23,2.45,2.33,1.7,1.56,15,-0.5,2,1.96,1.95,1.9
I2,21/09/13,Cittadella,Juve Stabia,0,2,A,0,1,A,2.25,3.1,3.4,2.25,3.1,3.2,2.3,2.9,3,2.25,2.9,3.25,2.41,3.22,3.28,2.25,3.2,3,2.25,3,3.25,2.3,3.2,3.2,36,2.41,2.27,3.22,3.07,3.4,3.11,30,2.25,2.1,1.85,1.72,16,0,1.71,1.66,2.31,2.23
I2,21/09/13,Empoli,Padova,3,1,H,0,1,A,1.55,3.6,6.5,1.55,3.75,6,1.55,3.4,5.8,1.53,3.7,6,1.59,3.83,7.13,1.6,3.75,5,1.57,3.6,5.8,1.57,3.8,6.5,34,1.61,1.56,4,3.67,7.13,5.78,30,2.03,1.95,1.92,1.83,18,-1,2.1,2.03,1.92,1.82
I2,21/09/13,Modena,Trapani,3,1,H,2,0,H,2.25,3,3.5,2.25,3.1,3.2,2.2,2.9,3.2,2.2,3,3.2,2.31,3.22,3.5,2.2,3.1,3.2,2.25,3,3.25,2.25,3.2,3.3,36,2.31,2.23,3.3,3.05,3.55,3.21,30,2.2,2.11,1.8,1.71,15,-0.25,1.99,1.95,1.95,1.91
