round,home_team,home_score,away_score,away_team,notes
29,Neunkirchen,1,9,TSV 1860,"(G.Kuntz 55 - Heiß 36, 44, 69, 77, Grosser 16, 52,Konietzka 34, Küppers 61, Rebele 66)"
30,K'lautern,1,2,Bayern,"(Rummel 54 - Werner 38, Nafziger 71)(sent off: Klimaschewski (K'lautern, 62),Wrenger (K'lautern, 89), J.Neumann (K'lautern, 39),Koulmann (Bayern, 62))"
30,Hannover,2,2,Nürnberg,"(Siemensmeyer 6, Brungs 82 - Mülhausen 53, Steinwedel 87 o)"
30,Frankfurt,1,2,Neunkirchen,"(Solz 87 - Görts 2, G.Kuntz 78)"
30,TSV 1860,4,0,Tasmania,"(Konietzka 35, Rebele 49, Grosser 58, Linden 87 o)"
30,Werder,3,1,Karlsruher,"(Schütz 68, 73, Danielsen 48 - Dobat 41)"
30,1. FC Köln,2,2,M'gladbach,"(C.Müller 57, Regh 88 - Milder 77 p, Rupp 82)"
30,Meidericher,2,1,Dortmund,"(Lotz 55, Rühl 57 - A.Schmidt 82)"
30,Stuttgart,1,3,Hamburger,"(Eisele 66 - B.Dörfel 35, 86, Kurbjuhn 54)"
30,Schalke,1,1,B'schweig,(Neuser 63 - Maas 79)[Apr 26]
30,B'schweig,2,2,Frankfurt,"(Krafczyk 28, Gerwien 58 - Friedrich 45, Huberts 87)"
31,Hannover,0,3,Schalke,"(Kreuz 31, 62, Rausch 83)"
31,Nürnberg,1,1,K'lautern,(Greif 66 - Rummel 38)
31,Bayern,0,1,Stuttgart,(Sieloff 18 p)
31,Hamburger,2,0,Meidericher,"(Wulf 67, U.Seeler 83)"
31,Dortmund,3,2,1. FC Köln,"(Emmerich 29, 44, Cyliax 80 - C.Müller 56, 58)"
31,M'gladbach,0,7,Werder,"(Dausmann 10, 67, 76, 87, Schütz 65, Ferner 75,Höttges 85)"
31,Karlsruher,1,1,TSV 1860,(Kentschke 19 - Grosser 53)
31,Tasmania,0,3,Frankfurt,"(Huberts 32, 54, Grabowski 71 p)"
31,Neunkirchen,1,0,B'schweig,(G.Kuntz 24 p)
32,K'lautern,1,1,Hannover,(Reitgaßl 85 - Heiser 52)[May 14]
32,B'schweig,3,1,Tasmania,"(Moll 27, Krafczyk 85, Maas 80 - Konieczka 56)"
32,Frankfurt,1,0,Karlsruher,(Blusch 38)
32,TSV 1860,3,3,M'gladbach,"(Konietzka 36, 49, Küppers 46 - Laumen 25, 81, 83)"
32,Werder,1,0,Dortmund,(Höttges 89 p)
32,1. FC Köln,5,1,Hamburger,"(Löhr 41, 43, C.Müller 71, Hornig 85, Rumor 40 -U.Seeler 60)"
32,Meidericher,1,1,Bayern,(Nielke 37 - Ohlhauser 70)
32,Stuttgart,1,0,Nürnberg,(Peters 25)
32,Schalke,2,0,Neunkirchen,"(Bechmann 75, Kreuz 85) [37 Pyka (Schalke) m/pen]"
33,K'lautern,3,2,Schalke,"(Reitgaßl 36, 54, Braner 18 - Bechmann 13, Kreuz 69)"
33,Hannover,4,2,Stuttgart,"(Rodekamp 28, Klose 78, Siemensmeyer 79, Bena 90 -Entenmann 57, Seibold 70)"
