Id,group_id,team_id,created_at,updated_at
128,28,109,2014-10-17T00:54:16.1192540-04:00,2014-10-17T00:54:16.1192540-04:00
129,28,94,2014-10-17T00:54:16.1213790-04:00,2014-10-17T00:54:16.1213790-04:00
130,28,93,2014-10-17T00:54:16.1234310-04:00,2014-10-17T00:54:16.1234310-04:00
131,29,120,2014-10-17T00:54:16.1299570-04:00,2014-10-17T00:54:16.1299570-04:00
132,29,123,2014-10-17T00:54:16.1319970-04:00,2014-10-17T00:54:16.1319970-04:00
133,29,99,2014-10-17T00:54:16.1338740-04:00,2014-10-17T00:54:16.1338740-04:00
134,30,192,2014-10-17T00:54:16.1409630-04:00,2014-10-17T00:54:16.1409630-04:00
135,30,105,2014-10-17T00:54:16.1429440-04:00,2014-10-17T00:54:16.1429440-04:00
136,30,106,2014-10-17T00:54:16.1447900-04:00,2014-10-17T00:54:16.1447900-04:00
137,30,107,2014-10-17T00:54:16.1467470-04:00,2014-10-17T00:54:16.1467470-04:00
138,31,121,2014-10-17T00:54:16.1520940-04:00,2014-10-17T00:54:16.1520940-04:00
139,31,122,2014-10-17T00:54:16.1541310-04:00,2014-10-17T00:54:16.1541310-04:00
140,31,108,2014-10-17T00:54:16.1561070-04:00,2014-10-17T00:54:16.1561070-04:00
141,31,101,2014-10-17T00:54:16.1581360-04:00,2014-10-17T00:54:16.1581360-04:00
142,32,90,2014-10-17T00:54:16.1636380-04:00,2014-10-17T00:54:16.1636380-04:00
143,32,102,2014-10-17T00:54:16.1656100-04:00,2014-10-17T00:54:16.1656100-04:00
144,32,98,2014-10-17T00:54:16.1676660-04:00,2014-10-17T00:54:16.1676660-04:00
145,32,111,2014-10-17T00:54:16.1697360-04:00,2014-10-17T00:54:16.1697360-04:00
146,33,191,2014-10-17T00:54:16.5798330-04:00,2014-10-17T00:54:16.5798330-04:00
147,33,103,2014-10-17T00:54:16.5819340-04:00,2014-10-17T00:54:16.5819340-04:00
148,33,121,2014-10-17T00:54:16.5838750-04:00,2014-10-17T00:54:16.5838750-04:00
149,33,90,2014-10-17T00:54:16.5857600-04:00,2014-10-17T00:54:16.5857600-04:00
150,34,190,2014-10-17T00:54:16.5912100-04:00,2014-10-17T00:54:16.5912100-04:00
151,34,118,2014-10-17T00:54:16.5932360-04:00,2014-10-17T00:54:16.5932360-04:00
152,34,119,2014-10-17T00:54:16.5952470-04:00,2014-10-17T00:54:16.5952470-04:00
153,34,220,2014-10-17T00:54:16.5973100-04:00,2014-10-17T00:54:16.5973100-04:00
154,35,117,2014-10-17T00:54:16.6044220-04:00,2014-10-17T00:54:16.6044220-04:00
155,35,120,2014-10-17T00:54:16.6077770-04:00,2014-10-17T00:54:16.6077770-04:00
156,35,192,2014-10-17T00:54:16.6097800-04:00,2014-10-17T00:54:16.6097800-04:00
157,35,97,2014-10-17T00:54:16.6116420-04:00,2014-10-17T00:54:16.6116420-04:00
158,36,118,2014-10-17T00:54:16.8615140-04:00,2014-10-17T00:54:16.8615140-04:00
159,36,117,2014-10-17T00:54:16.8634340-04:00,2014-10-17T00:54:16.8634340-04:00
160,36,190,2014-10-17T00:54:16.8653540-04:00,2014-10-17T00:54:16.8653540-04:00
161,36,120,2014-10-17T00:54:16.8672350-04:00,2014-10-17T00:54:16.8672350-04:00
162,36,103,2014-10-17T00:54:16.8690630-04:00,2014-10-17T00:54:16.8690630-04:00
163,36,191,2014-10-17T00:54:16.8708080-04:00,2014-10-17T00:54:16.8708080-04:00
164,37,202,2014-10-17T00:54:17.1326200-04:00,2014-10-17T00:54:17.1326200-04:00
165,37,205,2014-10-17T00:54:17.1345030-04:00,2014-10-17T00:54:17.1345030-04:00
166,37,196,2014-10-17T00:54:17.1363310-04:00,2014-10-17T00:54:17.1363310-04:00
167,37,197,2014-10-17T00:54:17.1384080-04:00,2014-10-17T00:54:17.1384080-04:00
168,38,204,2014-10-17T00:54:17.1916960-04:00,2014-10-17T00:54:17.1916960-04:00
169,38,199,2014-10-17T00:54:17.1938230-04:00,2014-10-17T00:54:17.1938230-04:00
170,38,206,2014-10-17T00:54:17.1992800-04:00,2014-10-17T00:54:17.1992800-04:00
171,38,202,2014-10-17T00:54:17.2017460-04:00,2014-10-17T00:54:17.2017460-04:00
172,39,200,2014-10-17T00:54:17.2075820-04:00,2014-10-17T00:54:17.2075820-04:00
173,39,203,2014-10-17T00:54:17.2094580-04:00,2014-10-17T00:54:17.2094580-04:00
174,39,198,2014-10-17T00:54:17.2112280-04:00,2014-10-17T00:54:17.2112280-04:00
175,39,201,2014-10-17T00:54:17.2130720-04:00,2014-10-17T00:54:17.2130720-04:00
176,40,200,2014-10-17T00:54:17.3030480-04:00,2014-10-17T00:54:17.3030480-04:00
177,40,199,2014-10-17T00:54:17.3049120-04:00,2014-10-17T00:54:17.3049120-04:00
178,40,204,2014-10-17T00:54:17.3068910-04:00,2014-10-17T00:54:17.3068910-04:00
179,40,203,2014-10-17T00:54:17.3089190-04:00,2014-10-17T00:54:17.3089190-04:00
180,41,211,2014-10-17T00:54:18.0253830-04:00,2014-10-17T00:54:18.0253830-04:00
181,41,154,2014-10-17T00:54:18.0281790-04:00,2014-10-17T00:54:18.0281790-04:00
182,41,190,2014-10-17T00:54:18.0303820-04:00,2014-10-17T00:54:18.0303820-04:00
183,41,22,2014-10-17T00:54:18.0322700-04:00,2014-10-17T00:54:18.0322700-04:00
184,42,129,2014-10-17T00:54:18.0384020-04:00,2014-10-17T00:54:18.0384020-04:00
185,42,137,2014-10-17T00:54:18.0415830-04:00,2014-10-17T00:54:18.0415830-04:00
186,42,212,2014-10-17T00:54:18.0441150-04:00,2014-10-17T00:54:18.0441150-04:00
187,42,193,2014-10-17T00:54:18.0459820-04:00,2014-10-17T00:54:18.0459820-04:00
188,43,215,2014-10-17T00:54:18.0511270-04:00,2014-10-17T00:54:18.0511270-04:00
189,43,132,2014-10-17T00:54:18.0529370-04:00,2014-10-17T00:54:18.0529370-04:00
190,43,17,2014-10-17T00:54:18.0550210-04:00,2014-10-17T00:54:18.0550210-04:00
191,43,72,2014-10-17T00:54:18.0568120-04:00,2014-10-17T00:54:18.0568120-04:00
192,44,214,2014-10-17T00:54:18.0621400-04:00,2014-10-17T00:54:18.0621400-04:00
193,44,118,2014-10-17T00:54:18.0641600-04:00,2014-10-17T00:54:18.0641600-04:00
194,44,170,2014-10-17T00:54:18.0661820-04:00,2014-10-17T00:54:18.0661820-04:00
195,44,134,2014-10-17T00:54:18.0684090-04:00,2014-10-17T00:54:18.0684090-04:00
196,45,153,2014-10-17T00:54:18.0745480-04:00,2014-10-17T00:54:18.0745480-04:00
197,45,216,2014-10-17T00:54:18.0767270-04:00,2014-10-17T00:54:18.0767270-04:00
198,45,131,2014-10-17T00:54:18.0786000-04:00,2014-10-17T00:54:18.0786000-04:00
199,45,117,2014-10-17T00:54:18.0805890-04:00,2014-10-17T00:54:18.0805890-04:00
200,46,210,2014-10-17T00:54:18.0859420-04:00,2014-10-17T00:54:18.0859420-04:00
201,46,162,2014-10-17T00:54:18.0879440-04:00,2014-10-17T00:54:18.0879440-04:00
202,46,178,2014-10-17T00:54:18.0898250-04:00,2014-10-17T00:54:18.0898250-04:00
203,46,20,2014-10-17T00:54:18.0917450-04:00,2014-10-17T00:54:18.0917450-04:00
204,47,127,2014-10-17T00:54:18.0971500-04:00,2014-10-17T00:54:18.0971500-04:00
205,47,138,2014-10-17T00:54:18.0990770-04:00,2014-10-17T00:54:18.0990770-04:00
206,47,18,2014-10-17T00:54:18.1008200-04:00,2014-10-17T00:54:18.1008200-04:00
207,47,191,2014-10-17T00:54:18.1029390-04:00,2014-10-17T00:54:18.1029390-04:00
208,48,125,2014-10-17T00:54:18.1082260-04:00,2014-10-17T00:54:18.1082260-04:00
209,48,1,2014-10-17T00:54:18.1101340-04:00,2014-10-17T00:54:18.1101340-04:00
210,48,156,2014-10-17T00:54:18.1119230-04:00,2014-10-17T00:54:18.1119230-04:00
211,48,74,2014-10-17T00:54:18.1138400-04:00,2014-10-17T00:54:18.1138400-04:00
212,49,153,2014-10-17T00:54:20.7442020-04:00,2014-10-17T00:54:20.7442020-04:00
213,49,148,2014-10-17T00:54:20.7465630-04:00,2014-10-17T00:54:20.7465630-04:00
214,49,138,2014-10-17T00:54:20.7484370-04:00,2014-10-17T00:54:20.7484370-04:00
215,49,157,2014-10-17T00:54:20.7506260-04:00,2014-10-17T00:54:20.7506260-04:00
216,50,124,2014-10-17T00:54:20.7563220-04:00,2014-10-17T00:54:20.7563220-04:00
217,50,154,2014-10-17T00:54:20.7590020-04:00,2014-10-17T00:54:20.7590020-04:00
218,50,127,2014-10-17T00:54:20.7610010-04:00,2014-10-17T00:54:20.7610010-04:00
219,50,145,2014-10-17T00:54:20.7627930-04:00,2014-10-17T00:54:20.7627930-04:00
220,51,137,2014-10-17T00:54:20.7677510-04:00,2014-10-17T00:54:20.7677510-04:00
221,51,134,2014-10-17T00:54:20.7694760-04:00,2014-10-17T00:54:20.7694760-04:00
222,51,146,2014-10-17T00:54:20.7712260-04:00,2014-10-17T00:54:20.7712260-04:00
223,51,131,2014-10-17T00:54:20.7731200-04:00,2014-10-17T00:54:20.7731200-04:00
224,52,132,2014-10-17T00:54:20.7781270-04:00,2014-10-17T00:54:20.7781270-04:00
225,52,147,2014-10-17T00:54:20.7800520-04:00,2014-10-17T00:54:20.7800520-04:00
226,52,129,2014-10-17T00:54:20.7820140-04:00,2014-10-17T00:54:20.7820140-04:00
227,52,156,2014-10-17T00:54:20.7839940-04:00,2014-10-17T00:54:20.7839940-04:00
228,53,145,2014-10-17T00:54:21.0775850-04:00,2014-10-17T00:54:21.0775850-04:00
229,53,132,2014-10-17T00:54:21.0798640-04:00,2014-10-17T00:54:21.0798640-04:00
230,53,156,2014-10-17T00:54:21.0817480-04:00,2014-10-17T00:54:21.0817480-04:00
231,53,148,2014-10-17T00:54:21.0837080-04:00,2014-10-17T00:54:21.0837080-04:00
232,54,137,2014-10-17T00:54:21.0886160-04:00,2014-10-17T00:54:21.0886160-04:00
233,54,142,2014-10-17T00:54:21.0908230-04:00,2014-10-17T00:54:21.0908230-04:00
234,54,127,2014-10-17T00:54:21.0928970-04:00,2014-10-17T00:54:21.0928970-04:00
235,54,138,2014-10-17T00:54:21.0948460-04:00,2014-10-17T00:54:21.0948460-04:00
236,55,129,2014-10-17T00:54:21.0997490-04:00,2014-10-17T00:54:21.0997490-04:00
237,55,134,2014-10-17T00:54:21.1016440-04:00,2014-10-17T00:54:21.1016440-04:00
238,55,133,2014-10-17T00:54:21.1051210-04:00,2014-10-17T00:54:21.1051210-04:00
239,55,154,2014-10-17T00:54:21.1106540-04:00,2014-10-17T00:54:21.1106540-04:00
240,56,158,2014-10-17T00:54:21.1160720-04:00,2014-10-17T00:54:21.1160720-04:00
241,56,147,2014-10-17T00:54:21.1209240-04:00,2014-10-17T00:54:21.1209240-04:00
242,56,131,2014-10-17T00:54:21.1227120-04:00,2014-10-17T00:54:21.1227120-04:00
243,56,170,2014-10-17T00:54:21.1244920-04:00,2014-10-17T00:54:21.1244920-04:00
244,57,52,2014-10-17T00:54:22.6352780-04:00,2014-10-17T00:54:22.6352780-04:00
245,57,6,2014-10-17T00:54:22.6376890-04:00,2014-10-17T00:54:22.6376890-04:00
246,57,3,2014-10-17T00:54:22.6397930-04:00,2014-10-17T00:54:22.6397930-04:00
247,57,42,2014-10-17T00:54:22.6415640-04:00,2014-10-17T00:54:22.6415640-04:00
248,58,18,2014-10-17T00:54:22.6466680-04:00,2014-10-17T00:54:22.6466680-04:00
249,58,11,2014-10-17T00:54:22.6528650-04:00,2014-10-17T00:54:22.6528650-04:00
250,58,26,2014-10-17T00:54:22.6576960-04:00,2014-10-17T00:54:22.6576960-04:00
251,58,19,2014-10-17T00:54:22.6630390-04:00,2014-10-17T00:54:22.6630390-04:00
252,59,16,2014-10-17T00:54:22.6682100-04:00,2014-10-17T00:54:22.6682100-04:00
253,59,20,2014-10-17T00:54:22.6700680-04:00,2014-10-17T00:54:22.6700680-04:00
254,59,54,2014-10-17T00:54:22.6719030-04:00,2014-10-17T00:54:22.6719030-04:00
255,59,33,2014-10-17T00:54:22.6737170-04:00,2014-10-17T00:54:22.6737170-04:00
256,60,17,2014-10-17T00:54:22.6783520-04:00,2014-10-17T00:54:22.6783520-04:00
257,60,21,2014-10-17T00:54:22.6801830-04:00,2014-10-17T00:54:22.6801830-04:00
258,60,5,2014-10-17T00:54:22.6819880-04:00,2014-10-17T00:54:22.6819880-04:00
259,60,1,2014-10-17T00:54:22.6838270-04:00,2014-10-17T00:54:22.6838270-04:00
260,61,210,2014-10-17T00:54:25.3778270-04:00,2014-10-17T00:54:25.3778270-04:00
261,61,215,2014-10-17T00:54:25.3799420-04:00,2014-10-17T00:54:25.3799420-04:00
262,61,219,2014-10-17T00:54:25.3819240-04:00,2014-10-17T00:54:25.3819240-04:00
263,61,118,2014-10-17T00:54:25.3840250-04:00,2014-10-17T00:54:25.3840250-04:00
264,62,211,2014-10-17T00:54:25.3892970-04:00,2014-10-17T00:54:25.3892970-04:00
265,62,213,2014-10-17T00:54:25.3911650-04:00,2014-10-17T00:54:25.3911650-04:00
266,62,218,2014-10-17T00:54:25.3930510-04:00,2014-10-17T00:54:25.3930510-04:00
267,62,216,2014-10-17T00:54:25.3948040-04:00,2014-10-17T00:54:25.3948040-04:00
268,63,214,2014-10-17T00:54:25.3993450-04:00,2014-10-17T00:54:25.3993450-04:00
269,63,212,2014-10-17T00:54:25.4012410-04:00,2014-10-17T00:54:25.4012410-04:00
270,63,217,2014-10-17T00:54:25.4032840-04:00,2014-10-17T00:54:25.4032840-04:00
271,63,190,2014-10-17T00:54:25.4072160-04:00,2014-10-17T00:54:25.4072160-04:00
