Id,key,name,synonyms,code,born_at,city_id,region_id,country_id,nationality_id,created_at,updated_at
78,abdelmoumenedjabou,Abdelmoumene Djabou,,,1987-01-31,,,27,27,2014-10-17T00:54:06.1620290-04:00,2014-10-17T00:54:06.1620290-04:00
79,yacinebrahimi,Yacine Brahimi,,,1990-02-08,,,27,27,2014-10-17T00:54:06.1637650-04:00,2014-10-17T00:54:06.1637650-04:00
80,nabilbentaleb,Nabil Bentaleb,,,1994-11-24,,,27,27,2014-10-17T00:54:06.1654400-04:00,2014-10-17T00:54:06.1654400-04:00
81,amirkaraoui,Amir Karaoui,,,1987-03-07,,,27,27,2014-10-17T00:54:06.1673040-04:00,2014-10-17T00:54:06.1673040-04:00
82,riyadmahrez,Riyad Mahrez,,,1991-02-21,,,27,27,2014-10-17T00:54:06.1691720-04:00,2014-10-17T00:54:06.1691720-04:00
83,rafikdjebbour,Rafik Djebbour,,,1984-03-08,,,27,27,2014-10-17T00:54:06.1709130-04:00,2014-10-17T00:54:06.1709130-04:00
84,elarbihillelsoudani,El Arbi Hillel Soudani,,,1987-11-25,,,27,27,2014-10-17T00:54:06.1755940-04:00,2014-10-17T00:54:06.1755940-04:00
85,islamslimani,Islam Slimani,,,1988-06-18,,,27,27,2014-10-17T00:54:06.1772470-04:00,2014-10-17T00:54:06.1772470-04:00
86,nabilghilas,Nabil Ghilas,,,1990-04-20,,,27,27,2014-10-17T00:54:06.1787930-04:00,2014-10-17T00:54:06.1787930-04:00
87,adamkwarasey,Adam Kwarasey,,,1987-12-12,,,44,44,2014-10-17T00:54:06.1825660-04:00,2014-10-17T00:54:06.1825660-04:00
88,fataudauda,Fatau Dauda,,,1985-04-06,,,44,44,2014-10-17T00:54:06.1842980-04:00,2014-10-17T00:54:06.1842980-04:00
89,stevenadams,Steven Adams,,,1989-09-28,,,44,44,2014-10-17T00:54:06.1860400-04:00,2014-10-17T00:54:06.1860400-04:00
90,samuelinkoom,Samuel Inkoom,,,1989-06-01,,,44,44,2014-10-17T00:54:06.1877660-04:00,2014-10-17T00:54:06.1877660-04:00
91,harrisonafful,Harrison Afful,,,1986-06-24,,,44,44,2014-10-17T00:54:06.1894310-04:00,2014-10-17T00:54:06.1894310-04:00
92,johnboye,John Boye,,,1987-04-23,,,44,44,2014-10-17T00:54:06.1911820-04:00,2014-10-17T00:54:06.1911820-04:00
93,jonathanmensah,Jonathan Mensah,,,1990-07-13,,,44,44,2014-10-17T00:54:06.1929560-04:00,2014-10-17T00:54:06.1929560-04:00
94,danielopare,Daniel Opare,,,1990-10-18,,,44,44,2014-10-17T00:54:06.1947790-04:00,2014-10-17T00:54:06.1947790-04:00
95,jerryakaminko,Jerry Akaminko,,,1988-05-02,,,44,44,2014-10-17T00:54:06.1964020-04:00,2014-10-17T00:54:06.1964020-04:00
96,rashidsumaila,Rashid Sumaila,,,1992-12-18,,,44,44,2014-10-17T00:54:06.1981470-04:00,2014-10-17T00:54:06.1981470-04:00
97,jeffschlupp,Jeff Schlupp,,,1992-12-23,,,44,44,2014-10-17T00:54:06.2000090-04:00,2014-10-17T00:54:06.2000090-04:00
98,sulleymuntari,Sulley Muntari,,,1984-08-27,,,44,44,2014-10-17T00:54:06.2017430-04:00,2014-10-17T00:54:06.2017430-04:00
99,kwadwoasamoah,Kwadwo Asamoah,,,1988-12-09,,,44,44,2014-10-17T00:54:06.2034480-04:00,2014-10-17T00:54:06.2034480-04:00
100,michaelessien,Michael Essien,,,1982-12-03,,,44,44,2014-10-17T00:54:06.2051780-04:00,2014-10-17T00:54:06.2051780-04:00
101,emmanuelagyemangbadu,Emmanuel Agyemang-Badu,,,1990-12-02,,,44,44,2014-10-17T00:54:06.2069160-04:00,2014-10-17T00:54:06.2069160-04:00
102,andreayew,Andr̩ Ayew,,,1989-12-17,,,44,44,2014-10-17T00:54:06.2086330-04:00,2014-10-17T00:54:06.2086330-04:00
103,christianatsu,Christian Atsu,,,1990-01-10,,,44,44,2014-10-17T00:54:06.2103960-04:00,2014-10-17T00:54:06.2103960-04:00
104,mohammedrabiu,Mohammed Rabiu,,,1989-12-31,,,44,44,2014-10-17T00:54:06.2121590-04:00,2014-10-17T00:54:06.2121590-04:00
105,albertadomah,Albert Adomah,,,1987-12-13,,,44,44,2014-10-17T00:54:06.2139430-04:00,2014-10-17T00:54:06.2139430-04:00
106,kevinprinceboateng,Kevin-Prince Boateng,,,1987-03-06,,,44,44,2014-10-17T00:54:06.2157230-04:00,2014-10-17T00:54:06.2157230-04:00
107,afriyieacquah,Afriyie Acquah,,,1992-01-05,,,44,44,2014-10-17T00:54:06.2179120-04:00,2014-10-17T00:54:06.2179120-04:00
108,enochadu,Enoch Adu,,,1990-09-14,,,44,44,2014-10-17T00:54:06.2199100-04:00,2014-10-17T00:54:06.2199100-04:00
109,asamoahgyan,Asamoah Gyan,,,1985-11-22,,,44,44,2014-10-17T00:54:06.2216250-04:00,2014-10-17T00:54:06.2216250-04:00
110,majeedwaris,Majeed Waris,,,1991-09-19,,,44,44,2014-10-17T00:54:06.2234040-04:00,2014-10-17T00:54:06.2234040-04:00
111,jordanayew,Jordan Ayew,,,1991-09-11,,,44,44,2014-10-17T00:54:06.2251940-04:00,2014-10-17T00:54:06.2251940-04:00
112,davidaccam,David Accam,,,1990-09-28,,,44,44,2014-10-17T00:54:06.2269360-04:00,2014-10-17T00:54:06.2269360-04:00
