Id,name,kind,lat,lng,created_at,updated_at
134,Thailand,CNTY,,,2014-10-17T00:53:51.2353020-04:00,2014-10-17T00:53:51.2353020-04:00
135,Philippines,CNTY,,,2014-10-17T00:53:51.2481510-04:00,2014-10-17T00:53:51.2481510-04:00
136,Vietnam,CNTY,,,2014-10-17T00:53:51.2607740-04:00,2014-10-17T00:53:51.2607740-04:00
137,Brunei,CNTY,,,2014-10-17T00:53:51.2768350-04:00,2014-10-17T00:53:51.2768350-04:00
138,Bandar Seri Begawan,CITY,,,2014-10-17T00:53:51.2795210-04:00,2014-10-17T00:53:51.2795210-04:00
139,Myanmar,CNTY,,,2014-10-17T00:53:51.2941440-04:00,2014-10-17T00:53:51.2941440-04:00
140,Naypyidaw,CITY,,,2014-10-17T00:53:51.2970920-04:00,2014-10-17T00:53:51.2970920-04:00
141,Cambodia,CNTY,,,2014-10-17T00:53:51.3101460-04:00,2014-10-17T00:53:51.3101460-04:00
142,Phnom Penh,CITY,,,2014-10-17T00:53:51.3127070-04:00,2014-10-17T00:53:51.3127070-04:00
143,Timor-Leste [East Timor],CNTY,,,2014-10-17T00:53:51.3252310-04:00,2014-10-17T00:53:51.3252310-04:00
144,Dili,CITY,,,2014-10-17T00:53:51.3276190-04:00,2014-10-17T00:53:51.3276190-04:00
145,Laos,CNTY,,,2014-10-17T00:53:51.3401040-04:00,2014-10-17T00:53:51.3401040-04:00
146,Vientiane,CITY,,,2014-10-17T00:53:51.3427160-04:00,2014-10-17T00:53:51.3427160-04:00
147,Cuba,CNTY,,,2014-10-17T00:53:51.3568950-04:00,2014-10-17T00:53:51.3568950-04:00
148,Jamaica,CNTY,,,2014-10-17T00:53:51.3710010-04:00,2014-10-17T00:53:51.3710010-04:00
149,Dominican Republic,CNTY,,,2014-10-17T00:53:51.3885150-04:00,2014-10-17T00:53:51.3885150-04:00
150,Haiti,CNTY,,,2014-10-17T00:53:51.4027740-04:00,2014-10-17T00:53:51.4027740-04:00
151,Port-au-Prince,MTRO,,,2014-10-17T00:53:51.4055550-04:00,2014-10-17T00:53:55.5219690-04:00
152,Antigua and Barbuda,CNTY,,,2014-10-17T00:53:51.4179390-04:00,2014-10-17T00:53:51.4179390-04:00
153,Saint John's,CITY,,,2014-10-17T00:53:51.4205320-04:00,2014-10-17T00:53:51.4205320-04:00
154,Bahamas,CNTY,,,2014-10-17T00:53:51.4374940-04:00,2014-10-17T00:53:51.4374940-04:00
155,Nassau,CITY,,,2014-10-17T00:53:51.4399410-04:00,2014-10-17T00:53:51.4399410-04:00
156,Barbados,CNTY,,,2014-10-17T00:53:51.4547280-04:00,2014-10-17T00:53:51.4547280-04:00
157,Bridgetown,CITY,,,2014-10-17T00:53:51.4572860-04:00,2014-10-17T00:53:51.4572860-04:00
158,Dominica,CNTY,,,2014-10-17T00:53:51.4743790-04:00,2014-10-17T00:53:51.4743790-04:00
159,Roseau,CITY,,,2014-10-17T00:53:51.4769650-04:00,2014-10-17T00:53:51.4769650-04:00
160,Grenada,CNTY,,,2014-10-17T00:53:51.4955100-04:00,2014-10-17T00:53:51.4955100-04:00
161,St. George's,CITY,,,2014-10-17T00:53:51.4981930-04:00,2014-10-17T00:53:51.4981930-04:00
162,Saint Kitts and Nevis,CNTY,,,2014-10-17T00:53:51.5185060-04:00,2014-10-17T00:53:51.5185060-04:00
163,Basseterre,CITY,,,2014-10-17T00:53:51.5211300-04:00,2014-10-17T00:53:51.5211300-04:00
164,Saint Lucia,CNTY,,,2014-10-17T00:53:51.5379900-04:00,2014-10-17T00:53:51.5379900-04:00
165,Castries,CITY,,,2014-10-17T00:53:51.5403880-04:00,2014-10-17T00:53:51.5403880-04:00
166,Saint Vincent and the Grenadines,CNTY,,,2014-10-17T00:53:51.5583720-04:00,2014-10-17T00:53:51.5583720-04:00
167,Kingstown,CITY,,,2014-10-17T00:53:51.5607990-04:00,2014-10-17T00:53:51.5607990-04:00
168,Trinidad and Tobago,CNTY,,,2014-10-17T00:53:51.5771130-04:00,2014-10-17T00:53:51.5771130-04:00
169,Port of Spain,CITY,,,2014-10-17T00:53:51.5797260-04:00,2014-10-17T00:53:51.5797260-04:00
170,Belize,CNTY,,,2014-10-17T00:53:51.5966650-04:00,2014-10-17T00:53:51.5966650-04:00
171,Guatemala,CNTY,,,2014-10-17T00:53:51.6129160-04:00,2014-10-17T00:53:51.6129160-04:00
172,Costa Rica,CNTY,,,2014-10-17T00:53:51.6254150-04:00,2014-10-17T00:53:51.6254150-04:00
173,Honduras,CNTY,,,2014-10-17T00:53:51.6416940-04:00,2014-10-17T00:53:51.6416940-04:00
174,El Salvador,CNTY,,,2014-10-17T00:53:51.6567430-04:00,2014-10-17T00:53:51.6567430-04:00
175,Nicaragua,CNTY,,,2014-10-17T00:53:51.6691510-04:00,2014-10-17T00:53:51.6691510-04:00
176,PanamÃ¡ [Panama],CNTY,,,2014-10-17T00:53:51.6834790-04:00,2014-10-17T00:53:51.6834790-04:00
177,European Union,SUPR,,,2014-10-17T00:53:51.6985550-04:00,2014-10-17T00:53:51.6985550-04:00
178,Austria,CNTY,,,2014-10-17T00:53:51.7078200-04:00,2014-10-17T00:53:51.7078200-04:00
179,Belgium,CNTY,,,2014-10-17T00:53:51.7179400-04:00,2014-10-17T00:53:51.7179400-04:00
180,Cyprus,CNTY,,,2014-10-17T00:53:51.7253410-04:00,2014-10-17T00:53:51.7253410-04:00
181,Germany,CNTY,,,2014-10-17T00:53:51.7492450-04:00,2014-10-17T00:53:51.7492450-04:00
182,Estonia,CNTY,,,2014-10-17T00:53:51.7660830-04:00,2014-10-17T00:53:51.7660830-04:00
183,Spain,CNTY,,,2014-10-17T00:53:51.7781720-04:00,2014-10-17T00:53:51.7781720-04:00
184,Finland,CNTY,,,2014-10-17T00:53:51.7856750-04:00,2014-10-17T00:53:51.7856750-04:00
185,France,CNTY,,,2014-10-17T00:53:51.7953260-04:00,2014-10-17T00:53:51.7953260-04:00
186,Greece,CNTY,,,2014-10-17T00:53:51.8025750-04:00,2014-10-17T00:53:51.8025750-04:00
