Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,28/09/13,Sp Braga,Sp Lisbon,1,2,A,1,1,D,2.4,3.4,2.8,2.5,3.2,2.75,2.5,3.1,2.6,2.4,3.1,2.75,2.46,3.36,3.07,2.38,3.2,2.8,2.4,3.25,2.8,2.45,3.4,3,32,2.5,2.42,3.4,3.21,3.07,2.84,28,2.15,2.05,1.82,1.74,16,0,1.79,1.76,2.19,2.08
P1,30/09/13,Setubal,Gil Vicente,2,2,D,2,1,H,2.2,3.3,3.25,2.2,3,3.4,2.2,3.1,3,2.15,3.1,3.2,2.29,3.38,3.36,2.15,3.1,3.3,2.2,3.2,3.25,2.25,3.3,3.3,30,2.29,2.19,3.4,3.2,3.5,3.23,25,2.2,2.06,1.8,1.73,14,-0.25,1.98,1.93,1.97,1.93
P1,04/10/13,Academica,Rio Ave,0,1,A,0,0,D,3,3.25,2.38,3,3,2.4,2.7,3.1,2.4,3,2.9,2.35,3.21,3.19,2.47,3,3.1,2.3,3,3.13,2.38,3.25,3.2,2.4,36,3.25,3,3.25,3.1,2.52,2.39,30,2.52,2.36,1.67,1.56,19,0,2.26,2.16,1.75,1.7
P1,05/10/13,Belenenses,Olhanense,2,0,H,1,0,H,2.05,3.2,3.8,1.95,3.2,3.9,2,3.2,3.3,2.05,3,3.5,2.07,3.39,3.96,2,3.1,3.75,2,3.13,3.8,2.05,3.3,3.9,33,2.14,2.02,3.45,3.21,4.16,3.67,23,2.3,2.17,1.72,1.65,16,-0.5,2.06,2.02,1.92,1.84
P1,05/10/13,Sp Lisbon,Setubal,4,0,H,1,0,H,1.33,4.75,9.5,1.28,5,10,1.3,4.4,8.5,1.3,4.8,9,1.32,5.39,11.37,1.33,4.5,8.5,1.33,4.5,9.5,1.33,5.25,10,33,1.36,1.32,5.5,4.76,11.37,9.07,26,1.77,1.7,2.25,2.1,18,-1.5,2.05,2,1.92,1.85
P1,06/10/13,Arouca,Porto,1,3,A,0,1,A,15,5.5,1.22,13,5.5,1.22,10,5,1.22,12,5.25,1.22,15.77,6.19,1.24,11,5,1.25,13,5.25,1.22,15,6,1.22,34,16.26,12.37,6.3,5.5,1.25,1.23,30,1.8,1.7,2.3,2.1,19,1.5,2.24,2.13,1.78,1.73
P1,06/10/13,Estoril,Benfica,1,2,A,0,1,A,5.5,3.5,1.67,4.75,3.7,1.67,4.8,3.6,1.6,4.8,3.5,1.66,5.14,3.99,1.71,4.6,3.75,1.65,5,3.6,1.67,5.25,3.9,1.67,34,5.8,4.93,3.99,3.63,1.73,1.67,30,1.86,1.8,2.15,1.98,15,0.75,1.99,1.94,1.97,1.91
P1,06/10/13,Gil Vicente,Pacos Ferreira,2,1,H,0,0,D,3,3.4,2.3,3,3.1,2.35,2.8,3.1,2.3,3,3,2.3,3.25,3.33,2.37,3.1,3.1,2.25,3,3.2,2.3,3.2,3.3,2.38,32,3.2,3.01,3.4,3.19,2.46,2.29,26,2.25,2.14,1.78,1.68,16,0,2.31,2.21,1.7,1.66
P1,06/10/13,Nacional,Sp Braga,3,0,H,2,0,H,3.75,3.3,2,3.8,3.2,2,3.3,3.2,2,3.5,3.2,2,3.91,3.48,2.05,3.5,3.3,2,3.75,3.25,2,3.9,3.4,2,33,3.91,3.64,3.48,3.28,2.1,2,29,2.08,2.01,1.87,1.77,16,0.5,1.89,1.86,2.05,2
P1,07/10/13,Guimaraes,Maritimo,1,0,H,0,0,D,2.2,3.4,3.2,2.15,3,3.5,2.1,3.1,3.2,2.1,3.1,3.3,2.26,3.28,3.53,2.25,3.1,3.1,2.2,3.25,3.2,2.25,3.3,3.4,32,2.34,2.2,3.4,3.21,3.52,3.21,21,2.3,2.16,1.74,1.65,15,-0.25,2,1.93,1.98,1.93
