Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Warren Creavalle,PHI,M,13,5,545,0,1,2,0,9,6,0,2,0
Jose Guillermo Ortiz,DC,F,16,7,669,1,0,21,8,9,8,8,1,0
Tony Alfaro,SEA,D,15,8,817,0,0,1,0,9,2,0,4,0
Bobby Boswell,ATL,D,11,10,892,1,0,6,3,9,2,0,0,0
Michael Boxall,MIN,D,12,12,1080,0,0,1,0,9,6,0,2,0
Andrea Pirlo,NYC,M,15,14,1085,0,2,11,3,9,16,0,1,0
Chris Tierney,NE,D-M,26,20,1713,1,5,8,2,9,9,0,3,0
Josh Williams,CLB,D,22,19,1795,3,0,6,3,9,10,1,4,0
Cristian Martinez,CLB,M,8,1,237,0,0,3,0,8,9,1,2,0
Josh Yaro,PHI,D,6,4,369,0,0,0,0,8,2,0,0,1
Amobi Okugo,POR,D-M,8,3,396,0,0,0,0,8,3,0,1,0
Deian Boldor,MTL,D,5,5,412,0,0,3,1,8,1,1,0,1
Baggio Husidic,LA,M,10,5,445,0,0,3,0,8,6,0,0,0
Josh Smith,NE,D,6,6,539,0,0,6,1,8,3,0,0,0
Marcelo Silva,RSL,D,9,9,650,0,0,5,1,8,1,0,0,1
Ismaila Jome,MIN,M-F,12,7,674,0,0,1,0,8,4,0,3,0
Jordy Delem,SEA,M,14,9,755,0,1,2,0,8,13,1,3,0
Michael Harrington,CHI,D,9,9,798,0,0,0,0,8,9,0,0,0
Ryan Hollingshead,DAL,M,18,9,820,0,0,16,3,8,5,2,0,0
Eric Alexander,HOU,M,12,11,887,0,1,2,0,8,5,0,0,0
Tosaint Ricketts,TOR,F,22,9,1003,7,1,31,15,8,13,8,0,0
Mauro Diaz,DAL,M,19,13,1107,2,8,21,9,8,38,1,0,0
Soni Mustivar,KC,M,14,2,260,0,1,0,0,7,4,0,0,0
Omar Holness,RSL,M,9,3,261,1,0,5,1,7,2,0,1,0
Hugo Arellano,LA,D,4,4,334,0,0,0,0,7,3,0,1,0
Jay Chapman,TOR,M,12,3,385,1,0,6,1,7,2,1,0,0
Soony Saad,KC,F,12,6,453,0,1,14,4,7,8,0,0,0
Nicolas Hasler,TOR,M-D,10,9,752,3,1,9,4,7,4,1,1,0
Bobby Burling,COL,D,12,8,760,0,0,4,0,7,4,0,3,0
Deshorn Brown,DC,F,16,10,788,2,1,22,10,7,10,10,1,0
Dillon Serna,COL,M,19,9,945,1,1,26,6,7,10,1,0,0
Jonathan dos Santos,LA,M,12,11,1004,1,1,11,2,7,10,0,4,0
Jonathan Osorio,TOR,M,27,9,1060,2,4,16,6,7,23,0,1,0
Jack Barmby,POR,M-D,10,0,99,1,0,5,2,6,2,0,3,0
Muhamed Keita,RBNY,F,6,2,190,0,1,2,0,6,3,0,1,0
Aaron Kovar,LAFC,M,7,1,199,0,0,10,1,6,3,0,0,0
Joseph Greenspan,MIN,D,4,3,235,0,0,1,0,6,1,0,1,1
Dennis Castillo,COL,D,3,3,244,0,0,0,0,6,1,0,1,0
Jeremy Ebobisse,POR,F,14,2,317,1,3,6,2,6,4,4,0,0
Memo Rodriguez,HOU,M,9,3,326,2,1,11,6,6,7,0,0,0
Mike Grella,CLB,M,8,3,362,0,0,3,1,6,3,0,0,0
Jose Villarreal,ORL,M,12,4,389,0,3,5,2,6,15,3,0,0
Fabian Herbers,PHI,M,12,4,395,1,2,8,2,6,7,0,1,0
Jay Simpson,PHI,F,22,4,472,1,0,13,6,6,6,1,0,0
Michael Ciani,LA,D,6,6,540,1,0,3,1,6,2,0,3,0
Justin Schmidt,RSL,D,9,7,676,0,0,3,1,6,3,0,0,0
Sébastien Le Toux,DC,F,16,8,732,2,0,9,4,6,6,0,1,0
Valeri Qazaishvili,SJ,M,13,8,784,5,2,38,14,6,15,1,0,0
Harry Shipp,SEA,M,18,11,927,2,1,15,4,6,11,2,1,0
Jackson Yueill,SJ,M,13,10,967,0,1,11,3,6,7,0,2,0
Andrew Wenger,HOU,F,22,12,1110,2,2,21,9,6,11,2,2,0
Cordell Cato,SJ,F,15,13,1138,0,1,11,1,6,14,1,0,0
Nick Lima,SJ,D,22,20,1809,2,1,20,6,6,27,1,2,1
Jahmir Hyka,SJ,M,30,21,1871,3,5,45,12,6,17,4,0,0
Sam Hamilton,COL,M,3,1,124,0,0,0,0,5,1,0,1,0
Quincy Amarikwa,SJ,F,9,1,150,0,0,8,5,5,2,3,0,0
