Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC2,19/10/13,Brechin,Rangers,3,4,A,3,1,H,11,6.5,1.22,8.75,5.75,1.22,10,5,1.2,9,5.5,1.2,,,,13,6,1.22,10,5.75,1.22,12,6.5,1.22,31,14,10.29,6.55,5.86,1.24,1.21,21,1.37,1.35,3.4,3.01,14,1.75,2.11,2.04,1.88,1.79
SC2,19/10/13,Dunfermline,East Fife,1,2,A,1,0,H,1.5,4.33,5,1.5,4.1,5,1.5,3.7,5,1.5,3.8,5,1.5,4.62,6.5,1.57,4.33,5,1.5,4.33,5.5,1.5,4.33,6.25,31,1.57,1.5,4.5,4.1,6.25,5.24,20,1.53,1.47,2.63,2.54,17,-1,1.89,1.83,2.06,2.01
SC2,19/10/13,Stranraer,Stenhousemuir,1,0,H,1,0,H,2.5,3.6,2.38,2.5,3.4,2.4,2.5,3.2,2.3,2.5,3.5,2.25,2.64,3.76,2.56,2.5,3.5,2.62,2.6,3.6,2.38,2.75,3.6,2.4,31,2.75,2.56,3.6,3.39,2.62,2.41,19,1.5,1.44,2.8,2.64,15,0,2.02,1.96,1.94,1.88
SC2,26/10/13,Airdrie Utd,Ayr,0,1,A,0,0,D,3,3.5,2.25,2.6,3.4,2.3,2.5,3.2,2.3,2.5,3.5,2.25,2.92,3.69,2.37,2.8,3.5,2.4,2.75,3.4,2.3,2.88,3.5,2.4,29,3,2.72,3.69,3.38,2.4,2.29,19,1.63,1.57,2.45,2.3,13,0,2.14,2.08,1.85,1.77
SC2,26/10/13,Brechin,Arbroath,3,1,H,1,0,H,2,3.75,3.4,2,3.5,3.1,2,3.3,3,2.1,3.5,2.75,2.05,3.88,3.51,2.1,3.5,3.3,2,3.5,3.3,2.05,3.75,3.4,29,2.1,2.01,3.88,3.48,3.51,3.2,19,1.5,1.46,2.75,2.59,13,-0.25,1.83,1.8,2.12,2.05
SC2,26/10/13,East Fife,Rangers,0,4,A,0,0,D,15,7,1.17,9.25,7.25,1.16,10,5,1.2,10,6,1.16,,,,12,6,1.22,12,7.5,1.14,18,8,1.15,29,18,12.29,8,6.96,1.22,1.15,20,1.4,1.35,3.3,2.99,8,2,2.21,2.15,1.75,1.7
SC2,26/10/13,Stenhousemuir,Forfar,1,1,D,1,1,D,2.1,3.75,3.1,2.1,3.5,2.9,2.1,3.2,2.9,2.1,3.5,2.75,2.36,3.76,2.9,2.25,3.5,3,2.2,3.5,2.8,2.3,3.75,2.88,29,2.36,2.17,3.76,3.5,3.1,2.84,19,1.55,1.5,2.65,2.44,12,-0.25,2.06,1.99,1.91,1.84
SC2,26/10/13,Stranraer,Dunfermline,1,2,A,1,0,H,3.25,3.6,2.1,2.8,3.5,2.15,2.5,3.2,2.3,2.75,3.5,2.1,3.41,3.82,2.08,2.9,3.6,2.25,3.2,3.4,2.05,3.4,3.6,2.1,29,3.41,3.06,3.82,3.39,2.3,2.1,19,1.53,1.48,2.62,2.52,10,0.25,2.07,2.02,1.87,1.81
SC2,06/11/13,Rangers,Dunfermline,3,1,H,0,0,D,1.17,7,15,1.14,7.5,9.75,1.15,6,12,1.14,6,12,,,,1.2,7,12,1.17,6.5,12,1.17,7.5,15,26,1.2,1.16,8,6.75,17.18,12.28,17,1.33,1.31,3.5,3.26,10,-2,1.84,1.81,2.06,2.03
SC2,09/11/13,Arbroath,East Fife,2,2,D,0,0,D,1.91,3.6,3.75,1.9,3.5,3.4,1.9,3.3,3.3,1.95,3.5,3.1,2.05,3.79,3.52,2.1,3.3,3.5,1.95,3.5,3.4,2.05,3.6,3.4,29,2.1,1.98,3.79,3.46,3.75,3.32,15,1.53,1.49,2.62,2.49,14,-0.5,2.05,2.01,1.86,1.83
SC2,09/11/13,Dunfermline,Stenhousemuir,3,2,H,1,1,D,1.7,3.75,4.75,1.8,3.5,3.7,1.7,3.4,3.9,1.72,3.5,3.75,1.8,4.11,4.23,1.83,3.75,4,1.73,3.6,4.33,1.83,3.75,4.1,30,1.83,1.74,4.11,3.65,4.75,4.03,16,1.53,1.48,2.62,2.53,13,-0.5,1.8,1.76,2.16,2.09
SC2,09/11/13,Forfar,Brechin,2,0,H,1,0,H,2.35,3.5,2.8,2.3,3.4,2.65,2.2,3.2,2.7,2.25,3.5,2.5,2.33,3.8,2.95,2.4,3.6,2.7,2.3,3.4,2.75,2.3,3.5,2.9,30,2.4,2.28,3.8,3.42,3.1,2.74,16,1.57,1.52,2.62,2.42,13,0,1.82,1.73,2.23,2.14
SC2,09/11/13,Rangers,Airdrie Utd,2,0,H,0,0,D,1.13,8,19,1.12,7.5,12.5,1.12,6.5,13,1.1,8,13,,,,1.14,7,21,1.11,8,17,1.12,8,23,30,1.14,1.11,9,7.47,23,16.87,16,1.35,1.3,3.75,3.34,9,-2.5,1.92,1.86,2,1.95
SC2,12/11/13,Ayr,Stranraer,3,6,A,2,3,A,2.05,3.5,3.4,1.8,3.6,3.6,1.85,3.3,3.4,1.73,3.6,3.75,2.05,3.74,3.56,1.83,3.75,4,1.95,3.4,3.5,2.05,3.75,3.4,36,2.05,1.93,3.76,3.48,4,3.53,19,1.67,1.62,2.31,2.21,17,-0.5,2.06,2.02,1.86,1.83
SC2,16/11/13,Airdrie Utd,Dunfermline,0,3,A,0,1,A,4,3.8,1.8,3.7,3.6,1.78,3.7,3.4,1.75,3.4,3.5,1.83,3.91,3.94,1.9,4,3.75,1.83,3.75,3.6,1.83,3.9,3.9,1.87,30,4.2,3.73,4,3.6,1.91,1.81,15,1.53,1.47,2.75,2.56,14,0.5,2.07,2,1.9,1.84
SC2,16/11/13,Brechin,Ayr,1,1,D,0,1,A,2.2,3.6,3,2.2,3.5,2.7,2.3,3.2,2.5,2.25,3.5,2.5,2.22,3.79,3.11,2.15,3.6,3.1,2.2,3.4,3,2.15,3.75,3.12,31,2.38,2.2,3.79,3.43,3.13,2.87,16,1.55,1.49,2.69,2.5,12,0,1.67,1.65,2.32,2.27
SC2,16/11/13,East Fife,Stranraer,1,2,A,1,1,D,2.6,3.6,2.5,2.4,3.5,2.45,2.3,3.2,2.5,2.25,3.5,2.5,2.84,3.66,2.44,2.62,3.6,2.5,2.63,3.4,2.4,2.75,3.6,2.45,30,2.84,2.55,3.66,3.4,2.62,2.44,15,1.62,1.56,2.62,2.33,13,0,2.07,2,1.89,1.85
SC2,16/11/13,Stenhousemuir,Arbroath,3,2,H,0,0,D,1.91,3.6,3.75,1.8,3.6,3.6,1.9,3.3,3.3,1.83,3.5,3.4,2.05,3.87,3.46,2,3.6,3.6,2,3.5,3.3,2,3.8,3.5,30,2.1,1.96,3.87,3.54,3.75,3.31,16,1.5,1.46,2.75,2.57,14,-0.5,2.09,2.04,1.87,1.8
SC2,23/11/13,Ayr,Stenhousemuir,4,3,H,2,2,D,2.15,3.75,3,2.2,3.5,2.7,2.1,3.2,2.9,2.1,3.5,2.75,2.31,3.78,2.96,2.25,3.75,2.8,2.2,3.5,2.88,2.2,3.75,3,29,2.31,2.2,3.78,3.46,3,2.86,17,1.57,1.54,2.54,2.37,13,-0.25,2.02,1.94,1.96,1.91
SC2,23/11/13,Dunfermline,Brechin,3,1,H,2,0,H,1.73,3.8,4.5,1.8,3.75,3.5,1.7,3.4,3.9,1.72,3.6,3.75,1.781,4.17,4.27,1.8,3.75,4.2,1.73,3.6,4,1.8,3.8,4.2,28,1.8,1.74,4.17,3.67,4.5,4.02,15,1.42,1.39,3.13,2.86,11,-0.5,1.79,1.76,2.16,2.11
SC2,23/11/13,Forfar,East Fife,2,0,H,0,0,D,1.7,3.8,4.75,1.7,3.75,3.9,1.6,3.5,4.5,1.66,3.6,4,1.763,4.15,4.4,1.73,3.75,4.5,1.67,3.8,4.33,1.75,4,4.3,29,1.76,1.67,4.15,3.78,5,4.32,16,1.5,1.44,2.9,2.64,13,-0.75,1.98,1.9,2.01,1.95
SC2,23/11/13,Stranraer,Airdrie Utd,3,1,H,2,0,H,1.62,4,5,1.6,3.8,4.6,1.55,3.5,4.8,1.61,3.5,4.5,1.69,4.24,4.81,1.67,3.8,4.8,1.62,3.8,4.8,1.67,4.2,4.75,29,1.69,1.6,4.24,3.88,5.25,4.66,16,1.5,1.45,2.75,2.61,12,-0.75,1.89,1.85,2.03,2
SC2,25/11/13,Arbroath,Rangers,0,3,A,0,3,A,9.5,7,1.22,9.5,5.75,1.2,10,5,1.2,10,6,1.16,,,,13,6,1.22,9.5,6,1.22,13,7,1.2,27,13,10.67,7,5.95,1.24,1.2,16,1.33,1.29,3.75,3.42,8,1.5,2.42,2.35,1.65,1.6
