Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,21/09/13,Ross County,Hearts,2,1,H,0,1,A,E Norris,10,8,5,5,15,12,4,2,2,2,0,0,2.05,3.5,3.4,2,3.3,3.4,1.9,3.2,3.6,2.1,3.3,3.5,2.15,3.43,3.65,2.2,3.2,3.4,2.05,3.4,3.5,2.15,3.5,3.5,31,2.2,2.09,3.5,3.28,3.65,3.4,30,2.13,2,1.85,1.78,15,-0.5,2.16,2.1,1.81,1.76
SC0,22/09/13,Dundee United,Motherwell,2,2,D,0,1,A,K Clancy,12,11,4,3,16,17,8,4,2,3,0,0,2.55,3.4,2.63,2.4,3.25,2.65,2.45,3,2.55,2.6,3.3,2.62,2.71,3.56,2.63,2.7,3.1,2.7,2.5,3.3,2.63,2.62,3.5,2.62,31,2.71,2.59,3.56,3.24,2.7,2.6,29,1.89,1.82,2.03,1.95,15,0,1.98,1.91,1.97,1.92
SC0,28/09/13,Hearts,Dundee United,0,0,D,0,0,D,S McLean,10,11,5,4,7,14,6,5,0,1,0,0,3.1,3.4,2.25,2.9,3.3,2.2,2.7,3.1,2.4,2.87,3.4,2.37,3.34,3.55,2.23,3.2,3.2,2.3,3.13,3.4,2.2,3.3,3.5,2.2,30,3.34,3.07,3.55,3.33,2.4,2.23,28,1.92,1.83,2.03,1.95,15,0,2.44,2.28,1.75,1.63
SC0,28/09/13,Inverness C,Hibernian,3,0,H,1,0,H,W Collum,11,6,7,1,10,11,5,7,2,0,0,0,1.83,3.75,4,1.83,3.4,3.8,1.8,3.2,4,1.8,3.5,4.33,1.98,3.76,3.85,1.85,3.5,4.2,1.83,3.5,4,1.92,3.7,4,31,1.98,1.85,3.85,3.51,4.5,4.03,29,1.95,1.87,2.02,1.91,14,-0.5,2,1.91,1.98,1.94
SC0,28/09/13,Kilmarnock,Celtic,2,5,A,2,3,A,J Beaton,8,10,4,5,11,7,2,1,1,2,0,0,8,5.25,1.33,6.75,4.75,1.35,7,4.5,1.35,8,4.5,1.4,8.52,5.02,1.4,9,4.8,1.4,9,4.8,1.33,9.5,5.25,1.33,30,9.5,8.36,5.4,4.77,1.4,1.35,23,1.72,1.61,2.34,2.2,16,1.5,1.85,1.8,2.14,2.04
SC0,28/09/13,Motherwell,Ross County,3,1,H,0,1,A,B Madden,22,13,8,4,10,19,9,4,0,0,0,0,1.8,3.6,4.33,1.8,3.6,3.7,1.8,3.2,4,1.83,3.5,4.33,1.85,3.78,4.41,1.85,3.5,4.2,1.8,3.5,4.33,1.8,3.75,4.5,30,1.86,1.81,3.78,3.5,4.51,4.24,28,1.95,1.87,2,1.9,14,-0.75,2.13,2.07,1.83,1.78
SC0,28/09/13,St Johnstone,Partick,1,1,D,1,1,D,C Thomson,11,11,8,7,8,6,12,3,1,0,0,0,2.05,3.5,3.4,1.85,3.5,3.7,2.1,3.1,3.2,1.95,3.5,3.75,2.05,3.63,3.75,2.05,3.3,3.6,2,3.4,3.6,2.05,3.5,3.9,31,2.1,2,3.63,3.37,3.8,3.6,29,2.15,2.03,1.82,1.75,14,-0.25,1.76,1.73,2.19,2.13
SC0,30/09/13,St Mirren,Aberdeen,1,1,D,0,0,D,C Murray,5,7,2,3,15,14,1,5,1,1,0,0,3.75,3.4,2,3.5,3.3,1.95,3.6,3.2,1.9,3.75,3.25,2.05,4.2,3.51,1.97,3.8,3.3,2,3.6,3.3,2,4.2,3.5,1.95,30,4.2,3.77,3.51,3.34,2.05,1.95,28,2.11,2.03,1.82,1.76,14,0.25,2.31,2.21,1.73,1.68
SC0,05/10/13,Celtic,Motherwell,2,0,H,1,0,H,I Brines,13,3,5,1,8,7,5,5,1,0,0,0,1.4,4.5,8,1.4,4.33,6.5,1.4,4,6.5,1.44,4.33,7,1.4,4.88,8.88,1.44,4,8,1.36,4.5,8.5,1.36,4.8,9,33,1.46,1.39,4.88,4.47,9,7.8,31,1.77,1.69,2.25,2.12,17,-1.5,2.2,2.12,1.81,1.74
SC0,05/10/13,Dundee United,Kilmarnock,1,0,H,0,0,D,W Collum,12,8,8,4,13,15,7,4,1,4,0,0,1.75,3.75,4.5,1.78,3.4,4.1,1.75,3.3,4.2,1.8,3.5,4.33,1.77,4.02,4.64,1.8,3.6,4.33,1.73,3.5,4.5,1.8,3.9,4.5,34,1.83,1.76,4.02,3.58,4.65,4.36,32,1.85,1.78,2.1,2,16,-0.75,2.09,2.03,1.88,1.82
