Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Danilo da Silva,MET,D,5,0,60,0,0,1,1,0/0,0.0,100.0
Martin Morales,COL,M,1,1,61,0,0,1,0,0/0,0.0,0.0
Alex Yi,DAL,D,1,1,66,0,0,1,0,0/0,0.0,0.0
Nikolas Besagno,RSL,M,2,1,69,0,0,1,0,0/0,0.0,0.0
Cassio,NE,M,3,2,111,0,0,1,1,0/0,0.0,100.0
Kevin Goldthwaite,SJ,D,3,2,147,0,1,1,1,0/0,0.0,100.0
Alan Gordon,LA,F,5,3,200,0,0,1,0,0/0,0.0,0.0
Aaron Lopez,CHV,D-M,4,3,237,0,0,1,1,0/0,0.0,100.0
Marcelo Saragosa,LA,M,4,2,255,1,0,1,1,0/0,100.0,100.0
Matt Crawford,COL,M,4,3,256,0,0,1,0,0/0,0.0,0.0
Steve Guppy,DC,M,5,4,285,0,1,1,0,0/0,0.0,0.0
Craig Waibel,SJ,D,6,6,527,0,1,1,0,0/0,0.0,0.0
Leo Cullen,COL,M,15,8,750,0,1,1,0,0/0,0.0,0.0
Alfonso Loera,CHV,D,12,9,875,0,0,1,1,0/0,0.0,100.0
Tony Sanneh,CHI,D,12,11,988,0,1,1,1,0/0,0.0,100.0
Paul Broome,LA,M,14,11,1001,0,0,1,0,0/0,0.0,0.0
Ricky Lewis,COL,D,16,16,1298,0,0,1,1,0/0,0.0,100.0
Carlos Mendes,MET,D,24,21,1916,0,0,1,0,0/0,0.0,0.0
Ugo Ihemelu,LA,D,25,23,2030,0,1,1,0,0/0,0.0,0.0
Stephen Keel,COL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Quavas Kirk,LA,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Luis Gallardo,CLB,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Stephen deRoux,DC,M-D,0,0,0,0,0,0,0,0/0,0.0,0.0
Guillermo Gonzalez,LA,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Joshua Elbaum,COL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Sergio Flores,RSL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Michael Erush,CHV,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Mamadou Diallo,MET,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Daniel Dobson,KC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Tighe Dombrowski,SJ,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Hollis Donaldson,CHI,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Chris Corcoran,MET,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Ramon Bailey,MET,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Christian Jimenez,CHV,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Hector Castro,CHV,M-D,0,0,0,0,0,0,0,0/0,0.0,0.0
Victor Arbelaez,CHV,D-M,0,0,0,0,0,0,0,0/0,0.0,0.0
Kenny Arena,DC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Daniel Garipe,MET,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Jeff Stewart,RSL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Tony Lochhead,NE,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Felix Brillant,NE,M-F,0,0,0,0,0,0,0,0/0,0.0,0.0
David Johnson,LA,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Craig Capano,CHI,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Duncan Oughton,CLB,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Ross Paule,CLB,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Eliseo Quintanilla,DC,F-M,0,0,0,0,0,0,0,0/0,0.0,0.0
Pat McGinnis,KC,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Tim Merritt,DC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
John Minagawa-Webster,KC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Jared Montz,CHI,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Winston Marshall,DAL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Tim Lawson,DC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Aaron Lanes,SJ,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Douglas Lascody,KC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
